"sim","N","beta0","beta1","beta2","q","eta0","eta1","ppv","queried_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","eta0_gs","se_eta0_gs","eta1_gs","se_eta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","eta0_cc","se_eta0_cc","eta1_cc","se_eta1_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","mle_msg","sim_msg"
"11422-1",2200,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.5125,0.111377498521005,0.542678695350451,-2.27802863961966,0.0014843333777596,0.175721260519677,0.00203409547641619,0.154251964390542,0.00621353838997439,-0.0642931201742615,0.06491395414705,0.292352218715048,0.341466943738639,-2.27896706538742,0.00204638510512442,0.0901948796673535,0.00220365457902189,0.16304850200417,0.00621906447897535,-2.27531837839638,0.00503617225697555,0.1733880292799,0.00640587346909483,0.139948042369372,0.0199126099600284,0.338032295571359,0.213874307020003,-2.36863658452058,1.21049265723338,-2.27777458900204,0.00157659903610319,0.176306516748259,0.006653592763365,0.156418060972588,0.00204664608498729,-0.0783121892281316,0.0677164378543783,0.211088886468303,0.35094624080993,"Converged",""
"11422-2",2200,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.50920245398773,0.11115072522095,0.556406685236769,-2.27838479707104,0.00150580205074242,0.176680008457507,0.00203423674432456,0.14126898159362,0.0067032009588512,-0.0618259904002723,0.0656870066829941,0.154726025679461,0.380411735501837,-2.28204304482813,0.00210631382558243,0.094442849134747,0.00223368078556549,0.146076261414161,0.00671198487945592,-2.27833886656632,0.00485372838361279,0.168346246183926,0.0063705676355139,0.138934046153929,0.0243591245493997,0.0710458643874158,0.205785014790061,-0.378901977045014,1.47640200622585,-2.27856210773913,0.00159875101760514,0.17618272184755,0.00727440128666642,0.139975262955289,0.00204653395576457,-0.0510605255482997,0.0688326182508113,0.203790807869035,0.396736857067647,"Converged",""
"11422-3",2200,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.525974025974026,0.11119131014387,0.556016597510373,-2.27704402072416,0.00149195805942123,0.177550993714345,0.00203760473033698,0.140543799853125,0.00672791066210304,-0.073730654668831,0.064405797769655,0.0873671410572309,0.364347971743699,-2.27698057038207,0.00207495638028193,0.089603481350766,0.00222311176677463,0.141651988041347,0.00670321959280922,-2.27132850010883,0.00474652244428693,0.170333693392721,0.00636197768377362,0.129600935520012,0.0193130127369519,0.0774089215613998,0.20225746393559,0.259641884759935,1.1927323056022,-2.27726711799517,0.00158979517584158,0.177792083714354,0.00740357945936309,0.143134666588555,0.00204875843202073,-0.0689945952413167,0.0672048780593673,-0.00226191282581998,0.379892617907618,"Converged",""
"11422-4",2200,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.479166666666667,0.11140496654754,0.547720797720798,-2.27669730405129,0.001517496018605,0.175054816446642,0.0020202186572542,0.130252519148233,0.00658300680745546,0.00182598838470141,0.0647532629638768,0.31155471303445,0.385980926606438,-2.27786404884811,0.0021359893609544,0.0932312652795689,0.00224225129671535,0.138225371680782,0.00662304690323095,-2.27389771099357,0.00458011163345166,0.168367777200928,0.00657957476595632,0.130512020102918,0.0188394692133576,-0.141902592100355,0.206670385113636,0.493217123238006,1.02850941816536,-2.2764132778376,0.00161852354028245,0.175032385262247,0.00719962180788309,0.13300532210252,0.0020297006544926,-0.00393096902492319,0.0678216074991019,0.188584487234926,0.40521329800251,"Converged",""
"11422-5",2200,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.534246575342466,0.111803942340125,0.544540229885057,-2.27823254316535,0.00149299261901184,0.180749775344862,0.00200888587002291,0.139238261291977,0.00612959986887792,-0.0154031598317122,0.0637138943111921,0.707036464626278,0.347992454675879,-2.28235492395249,0.00209856791985497,0.0994389779864994,0.00223343318487984,0.160736411698239,0.0061487529567013,-2.27648966830267,0.00459578173523879,0.183017335111214,0.00644710048747621,0.13214032517288,0.0156142817389234,0.267687915273986,0.19564115057236,-1.30761836615606,1.06845973114681,-2.27801930969706,0.00161549707880275,0.180675175140756,0.00677940051126251,0.139752205634302,0.00200429385116117,-0.0204977022545503,0.0666346508246064,0.68429759370333,0.359789950218959,"Converged",""
"11422-6",2200,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.533333333333333,0.111260393684524,0.546972860125261,-2.27698326248977,0.00149182515350894,0.174759357373572,0.00203371988481173,0.139772484811253,0.00631151266837541,-0.0893273413894196,0.0650379122095043,0.534899064240071,0.364332882910034,-2.27789103649383,0.00209073261274284,0.0888269125576916,0.00221784010586167,0.153851326908782,0.00634233950615199,-2.27356130911059,0.00487717499535561,0.175883243126278,0.00627936058290266,0.129110019512269,0.0210098996462083,0.248873382958358,0.196676851054736,-1.00459353629354,1.04407526306866,-2.27688721426838,0.00158600096776243,0.174452546211414,0.00681959605798689,0.138617497920535,0.00204449839019486,-0.0890213905781914,0.0683284975252085,0.578580547048417,0.377750424661883,"Converged",""
"11422-7",2200,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.438848920863309,0.111300941237248,0.537438768369489,-2.27724726966385,0.00148674730367567,0.174996806933567,0.00202878511590121,0.132183350934485,0.00598059233825243,-0.106344058014852,0.0649773330707509,0.961776518407694,0.353238711719957,-2.2809600146975,0.00208515910376434,0.0923368756729361,0.00221033240469274,0.156943713348583,0.006007748523973,-2.27717858444282,0.00452360982291607,0.177781866041944,0.00680478935947199,0.132109375892254,0.0200930462918811,-0.294243715413397,0.210239773512484,0.502495853483712,1.26512665457238,-2.27725979571385,0.00160799799170356,0.174765683266874,0.00655005977424859,0.13346867722842,0.00203936998567302,-0.102581509582037,0.0686901641889064,0.914588765522099,0.369003023409822,"Converged",""
"11422-8",2200,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.551282051282051,0.111223237788911,0.548455056179775,-2.27897240746767,0.00150816084076132,0.177349869218964,0.00203151676987471,0.140362352778116,0.0063438350225067,-0.00514190581074749,0.0639727530020619,-0.0121875836610983,0.371430183228449,-2.27792324742706,0.00212083658283675,0.0911336878955088,0.00223616199857537,0.139137252593175,0.00637011305283203,-2.28192811343838,0.00494851162600498,0.182319158807121,0.00631472456454542,0.146545386877334,0.0197521570163029,0.179665765258288,0.208573833514083,0.246968951308665,1.25353817964887,-2.27900073897071,0.00160722256329265,0.177392616676635,0.00672287393876722,0.139572278507204,0.00203414539040443,-0.00576829009571576,0.0671544352317434,0.023526284824653,0.382145119162509,"Converged",""
"11422-9",2200,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.483870967741935,0.111409295182447,0.560478199718706,-2.27793033664019,0.00146402772324838,0.176750526425225,0.00202476926213803,0.145681213881075,0.0059283803577907,-0.0782391214365453,0.0621027428782301,0.502877170908349,0.338229949350701,-2.28042735942385,0.00210208273891121,0.0921242098600446,0.00224617823356334,0.161420069138499,0.00597281022427036,-2.27777997941103,0.00439305579743106,0.18014639597315,0.00643909816854276,0.148697699960196,0.0145119776015883,-0.0955145779225792,0.188091324517374,0.275167637692014,0.869796301617521,-2.27839521682584,0.0016024465907485,0.176799613189918,0.00741808847201023,0.14600918347722,0.00202306675756953,-0.0649253677606043,0.0651142863468257,0.495485587111244,0.357606940269189,"Converged",""
"11422-10",2200,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.483221476510067,0.111724441346863,0.531360112755462,-2.27547781146658,0.00149955324753688,0.177493125944052,0.002020229809218,0.136269468209798,0.00613507149658255,-0.0123651171376715,0.0649059142129363,0.410296470154205,0.346463847630484,-2.27763629872381,0.00206202730462726,0.0954085979145872,0.0021988943315066,0.147369321225233,0.0061355303812107,-2.27678563866526,0.0045945853713927,0.178356837448403,0.00649522576418646,0.131979448929284,0.0181438304396796,0.0316063482850185,0.206376377919276,-0.704018785541055,0.900427780750964,-2.27576092524389,0.00163445153500069,0.177814855563978,0.00740338322069461,0.137692719423625,0.0020172209138091,-0.00804257060621817,0.0682723137145539,0.367025934586373,0.372373289186955,"Converged",""
