"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle"
"11422-1",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111242411982958,0.313953488372093,-2.25323257644257,0.00297406962387458,0.160430156255002,0.0048573112421953,-2.25661108464053,0.00359588843770281,0.108303542241262,0.0047528872905778,-2.26235028187865,0.00924302685821887,0.182948747400234,0.0156671334693215,-2.25292389972622,NA,0.163442914368347,NA
"11422-2",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.112544072687891,0.224899598393574,-2.24356671273563,0.00301429059710027,0.155747298645053,0.00477836548677463,-2.24354256894532,0.00342429491586339,0.113771248854128,0.00468826539307337,-2.2484052985935,0.00902073071376639,0.14352298717595,0.016182670006826,-2.24236396886041,NA,0.158222981670997,NA
"11422-3",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.112233002158327,0.294573643410853,-2.24227291687792,0.0029619774721715,0.154748107025384,0.00484145810497434,-2.24111849163054,0.00352341985734582,0.0989820394045329,0.00471758252705681,-2.23524077136515,0.00913175212209247,0.164170154311531,0.015573966189982,-2.24082865453237,NA,0.156642829836571,NA
"11422-4",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111292617106526,0.254752851711027,-2.24998305964696,0.00294252497497372,0.158404690852284,0.0048929562557785,-2.24894093549498,0.00340721819989172,0.104519776270895,0.0047073141736112,-2.23646977673484,0.00969184958491424,0.159644450694014,0.0148790248663829,-2.2493264792861,NA,0.158022137299429,NA
"11422-5",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.110899597417272,0.261648745519713,-2.24614708858428,0.00285219863149941,0.156166722421095,0.00506104566700088,-2.24677774329472,0.00332077401832759,0.0983636387499577,0.004712365523187,-2.23180508459619,0.00985281010140322,0.132022621781917,0.014830476547222,-2.24526426146831,NA,0.15828080570357,NA
"11422-6",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.11225011010101,0.282786885245902,-2.24503198650106,0.0030494599395091,0.148055940444596,0.00476060492681804,-2.24777026774785,0.00360477887238179,0.107759353822389,0.004741457685217,-2.24227448950375,0.00930000854316719,0.162388799471161,0.0153157574620863,-2.24474826118073,NA,0.148105269533158,NA
"11422-7",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.112868370654595,0.304878048780488,-2.24080264019811,0.00302957880285595,0.153117725336772,0.0047587615198902,-2.24136338748543,0.00363499264750522,0.104186138219824,0.00474483423648294,-2.24633477140559,0.00901119738852557,0.142418605539285,0.0161224270049035,-2.24073750867896,NA,0.152561268700309,NA
"11422-8",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111337207514576,0.232472324723247,-2.24869580644292,0.00289760037890395,0.165597679501161,0.00496308580100116,-2.24811904952526,0.00330622193072985,0.110099018462688,0.00470534481775637,-2.25741910330591,0.00889776653774656,0.163953586207555,0.0165825168697227,-2.24947835364888,NA,0.165267215161367,NA
"11422-9",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111393608052582,0.22962962962963,-2.24292065568356,0.00289227525358711,0.14891989181327,0.00496183992441068,-2.24200493439528,0.00329316300411304,0.0987383747846496,0.00470098524670847,-2.25987120057773,0.0095874995577351,0.157287214039694,0.0152352721252851,-2.24195772164789,NA,0.150761224704046,NA
"11422-10",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.112615840295927,0.256198347107438,-2.24657481339663,0.00306270353074469,0.157788002932224,0.00474030814998669,-2.24610443814583,0.00355031966329111,0.112929676111738,0.00471711383041857,-2.25216420543229,0.00973445930844795,0.151650201517873,0.0150136697432222,-2.24689798896294,NA,0.157958716707839,NA
"11422-11",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.112691341753383,0.234126984126984,-2.24226725514202,0.00299527325349451,0.158834874366871,0.00478907226755783,-2.24031466930991,0.00342000674346863,0.110179643163295,0.00468447202905861,-2.24794832166374,0.00884851683475616,0.168266100303337,0.0164579205368675,-2.24197759136491,NA,0.157667517113842,NA
"11422-12",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111930743071904,0.263565891472868,-2.24605242754447,0.00296722749321182,0.157706354703883,0.00484553784580108,-2.2466514629408,0.00345730994895043,0.10807045687228,0.00470643761516765,-2.22809075266453,0.00907330223403007,0.142252750328082,0.0155965265331898,-2.24524274714594,NA,0.15779237014627,NA
"11422-13",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.112266435833234,0.232283464566929,-2.24293479456898,0.00298324033793245,0.153020467050616,0.00481300866866872,-2.24080170737054,0.00340063209419582,0.105116906985176,0.00468849510762153,-2.2427346042687,0.0101320669836618,0.160427993977412,0.0146877421836142,-2.24184107463732,NA,0.153940937569488,NA
"11422-14",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.112062172321205,0.21875,-2.24452525681568,0.00297366162010409,0.154532549000462,0.00482941397067893,-2.24516775251647,0.00336623866592181,0.112592698820916,0.00468844036670889,-2.24923132540572,0.00870585664605112,0.150411140911802,0.0172488067036485,-2.24528608773503,NA,0.153039076839184,NA
"11422-15",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111740363882563,0.244186046511628,-2.24810401679338,0.00296620890670776,0.158648368873146,0.0048464714180225,-2.24780307208251,0.00341076345956238,0.109521552480042,0.00469838409844192,-2.2482478066925,0.00883986371077344,0.149249100125838,0.0165215272094192,-2.2475046251735,NA,0.158062217110158,NA
"11422-16",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111391547164881,0.220149253731343,-2.24304610019879,0.00290416705807232,0.146970172559088,0.00494169616801072,-2.23976867103663,0.00328322601441789,0.0947062445349349,0.00470084811727761,-2.24021349667303,0.0101123615326625,0.158160246248403,0.0146955989964259,-2.24221610138193,NA,0.149661285975459,NA
"11422-17",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111929238044654,0.24609375,-2.24695452893962,0.00297737648166501,0.157616473806632,0.00482914518930382,-2.24803824478018,0.003429627613559,0.111995561357166,0.00469843369493249,-2.25451452432318,0.0101955882001922,0.175634685741965,0.0147057485897347,-2.24749107454226,NA,0.157398358490029,NA
"11422-18",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.112075117393907,0.268292682926829,-2.24773901832265,0.00303839025976088,0.152752403262933,0.00477404435622833,-2.24764614626183,0.00355204382654252,0.106982262507921,0.00472689619255812,-2.25029703376307,0.00937367038604475,0.167097278204839,0.0153943434497342,-2.24726645274603,NA,0.151809781821193,NA
"11422-19",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111325417624279,0.260536398467433,-2.25038068500472,0.00295543736532601,0.157971051164146,0.00488279763711783,-2.24905572302056,0.00343484323642085,0.103667304208243,0.00471414990608723,-2.25171901322575,0.00995037013570172,0.163126952812678,0.0148378968935752,-2.24967328340037,NA,0.15892566795685,NA
"11422-20",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111867521958865,0.237547892720307,-2.24743100462334,0.00295191990034848,0.163376042967362,0.00486854522010447,-2.24502036177902,0.00337747156490355,0.108456012634275,0.00469752318304081,-2.23946709291829,0.00929880358858932,0.169581533434668,0.0152943378367065,-2.24821860484199,NA,0.163825073426237,NA
"11422-21",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.11163121832524,0.244274809160305,-2.24590492405905,0.00294191332801898,0.154336893176853,0.00488443759084638,-2.24686836749902,0.00338539737727961,0.107325127602395,0.0047001789803226,-2.24711519293522,0.00950786449218253,0.149356281714966,0.0151717271680662,-2.24742456165769,NA,0.15250851381018,NA
"11422-22",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111834227197214,0.252918287937743,-2.24273447915621,0.00296472248732017,0.14536506498041,0.0048471664486555,-2.24394792796896,0.00343271765902341,0.1021393792455,0.00470132510549586,-2.24437651014838,0.00989613678320452,0.173565480804177,0.014747661395862,-2.24218806798405,NA,0.146567543699957,NA
"11422-23",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111585695336083,0.233716475095785,-2.2454003874767,0.00294882516726265,0.150755315090585,0.00487928956550807,-2.24236976184052,0.0033645810401333,0.0988563463987785,0.00470018922638785,-2.24070968927594,0.00915161618096315,0.129328003791158,0.0157905713181022,-2.24549015434727,NA,0.150415494276414,NA
"11422-24",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111103263323756,0.256410256410256,-2.24293776641973,0.00287652074728256,0.144892900201614,0.00500343156363505,-2.2435291285962,0.00333557503964269,0.0942165533041472,0.00470727187028242,-2.23973873720929,0.0082571314335815,0.160776850187482,0.0196944947808674,-2.24364473031508,NA,0.144016307969853,NA
"11422-25",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111178771263898,0.222222222222222,-2.24761707928377,0.00290030482066932,0.157009845904719,0.00496185496925816,-2.24704451060712,0.00328726826558048,0.106152841367379,0.00470794885608975,-2.24597649654986,0.00886379674303384,0.145605463352959,0.0166132554199463,-2.24806968274895,NA,0.156912415760266,NA
"11422-26",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111773871784469,0.223107569721116,-2.24947873496576,0.00301346922512425,0.155242707649155,0.00480509585725741,-2.24969880620202,0.00342042681338816,0.113486162372507,0.00470237688250155,-2.2488228154943,0.00972892613127243,0.181226976576878,0.0148524938866804,-2.24934290691141,NA,0.156958660016735,NA
"11422-27",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.112165250824595,0.246153846153846,-2.24102539222647,0.00294853045014809,0.151827639402861,0.00485876757657462,-2.23959259517176,0.00339226646198574,0.10163249017586,0.00469193485790616,-2.23517239106002,0.00987584803770277,0.143237038300312,0.014759413514883,-2.24102577468907,NA,0.151776554536894,NA
"11422-28",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111461976570183,0.231060606060606,-2.24498638146917,0.00292780788864893,0.149780737786392,0.00490359281698845,-2.24634264163658,0.00334248067428835,0.105913775979595,0.00469765677277316,-2.23746894975787,0.00864869324531706,0.118473385903214,0.0172143220636206,-2.24512975218262,NA,0.149751061376224,NA
"11422-29",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111370991414631,0.203703703703704,-2.24584747850096,0.00289792883188453,0.156918657311903,0.00495526355139136,-2.24484857017637,0.00324577701248412,0.108099970119517,0.00470704478364333,-2.25726704572673,0.0084706210394814,0.157844714842515,0.0188021509982885,-2.24531913580313,NA,0.159006647827386,NA
"11422-30",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111960593977054,0.232558139534884,-2.24386704317984,0.00296234128983052,0.152499995524965,0.0048451303059897,-2.24595012247333,0.00338632924006946,0.111273925293143,0.0046923613365378,-2.23874382156369,0.0093141154607222,0.155080207763151,0.0153365135648522,-2.24325309031208,NA,0.15383219641801,NA
"11422-31",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111262410990716,0.257462686567164,-2.24624272509378,0.00291027322512343,0.153050042063134,0.00494203741591007,-2.24295285578635,0.00337048143044152,0.0941201943664439,0.00470585788360686,-2.23631472229996,0.00932950877815128,0.150225916051902,0.0153783670407924,-2.24556422883108,NA,0.153996658012605,NA
"11422-32",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111197182140994,0.243445692883895,-2.24858660042518,0.00292098060008772,0.156810252998764,0.00493509369307371,-2.24888890827897,0.00335797328873076,0.105992649399418,0.00470943446738062,-2.2609822942056,0.00907404888362678,0.150423366469861,0.0162316029538704,-2.24679930215037,NA,0.160879020839952,NA
"11422-33",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.112282519377481,0.211538461538462,-2.24430214339529,0.00294953066511722,0.163706448114638,0.00484820659051222,-2.24592101861349,0.00332308321836972,0.121012721674419,0.00468191241277757,-2.23753215237879,0.00879190819695701,0.158998376939841,0.0163804638678255,-2.24469598373289,NA,0.162759026899531,NA
"11422-34",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111373460960918,0.260536398467433,-2.25151643102479,0.00295751765890982,0.162328708116444,0.0048758462332729,-2.25209465504932,0.00344077546515951,0.110322706682104,0.00471292415809499,-2.23353776775022,0.00947027224026633,0.155179286595652,0.0150712653866476,-2.25140099281448,NA,0.161593703881197,NA
