"sim","N","beta0","beta1","beta2","q","eta1","eta0","ppv","queried_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","mle_msg","sim_msg"
"seed1031-run1",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.581818181818182,0.113152679289011,0.501216545012166,-2.27606177261884,0.00161958850149021,0.174414851203647,0.00197287185974253,0.137484691765441,0.00643616665173469,-2.27472762449272,0.00216654163197812,0.110123841162742,0.002256594828023,0.125495931499872,0.00644912768556355,-2.27583458769303,0.00566667587021937,0.174285050610318,0.0063360174289727,0.14104928611351,0.0198662366600628,-2.27615489640041,0.00174721015826092,0.174321913372766,0.00705700746492166,0.140191608441258,0.00200024050158647,0.505762443720497,0.0699554620948551,-0.581823803519295,0.394291290747456,"Converged",""
"seed1031-run2",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.613636363636364,0.112603898948555,0.49452269170579,-2.27699911279455,0.00157429276876262,0.176324987408491,0.00197649934156216,0.13225208487785,0.00662920793187755,-2.27861833709654,0.00210211249462432,0.110042624969833,0.00222083203543257,0.135384544276675,0.0066547247972178,-2.27206102168824,0.00572285050042246,0.166972217116293,0.00643799062606003,0.127030862993123,0.0204519082729412,-2.27799745004748,0.00169422717342443,0.175994278815781,0.00708535657916076,0.133671646697963,0.00199623562265247,0.40367338838417,0.069835924801646,0.0603383804191201,0.400391157356864,"Converged",""
"seed1031-run3",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.631818181818182,0.113037976280517,0.489862124898621,-2.27749798449027,0.00158095890838405,0.175393806245996,0.00196988224878766,0.139575780521821,0.00613150249465734,-2.27682223209394,0.00211675760391262,0.110683298023324,0.002239065140244,0.139325867920008,0.00614886277146097,-2.28010074776986,0.00574013434781103,0.178395141878702,0.00652550583235765,0.12132202934987,0.0196279346023513,-2.27761205186347,0.00169171859007025,0.175283978995152,0.00665958150430091,0.140592731888801,0.00199528752833602,0.476286440975896,0.0687821670697196,-0.0400444731720325,0.389231694734906,"Converged",""
"seed1031-run4",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.618181818181818,0.112965508313429,0.453312051077414,-2.27759521455362,0.00158320938387459,0.176328699333317,0.00197223120893574,0.144609028734298,0.00632459049067882,-2.27756996533002,0.00205245815864549,0.113430119264772,0.00218132379787051,0.146829265302173,0.00634486431261842,-2.27224581546952,0.00595496877967758,0.173974399347454,0.00645046456160897,0.105352411143211,0.0247675079319693,-2.27740063621351,0.00167381726756572,0.176282537445255,0.00672629249131634,0.142527054127036,0.00199166587280096,0.491965295171039,0.0702499785627679,0.202406198703593,0.40322300593999,"Converged",""
"seed1031-run5",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.581818181818182,0.112984937624524,0.476418864908074,-2.27951987520085,0.00154254375119215,0.177137903297243,0.00196868268970337,0.146270942816797,0.00572611855616531,-2.28252707151618,0.00203733356070404,0.113703726187586,0.00220273172322197,0.162926021799468,0.00572809968731683,-2.27673395630806,0.00539091552473894,0.169316431238623,0.0063674535628451,0.16029167793517,0.0204300878722621,-2.27963121838989,0.00162978061250239,0.177269331882426,0.00606343189402968,0.147856812799532,0.00198240497826389,0.392356030380889,0.0689496460764775,0.560593461411069,0.349406904619416,"Converged",""
"seed1031-run6",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.6,0.112675333308261,0.48535233570863,-2.27843614004835,0.00158923030775951,0.175856919709349,0.00197411414646392,0.138272422955623,0.00661179875149148,-2.27898824867961,0.00210500079016685,0.10982137013046,0.00221579704024994,0.143574507154285,0.00662995323068966,-2.27095924042742,0.00575928749556578,0.174321273877002,0.00640792597063078,0.0858380376023069,0.02330048372022,-2.2778471940563,0.00170389828220467,0.175601228419871,0.00703250800018472,0.13753903149195,0.0019983926972284,0.385539564804644,0.0702813875511624,0.238627402489112,0.396376125681889,"Converged",""
"seed1031-run7",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.572727272727273,0.112732733948938,0.468823993685872,-2.27756645388561,0.00155757161765389,0.17799570726171,0.00197395287333881,0.126368064354616,0.0059715059395628,-2.27841076054092,0.00205435225588514,0.11230279016319,0.00219375373111652,0.134087007110258,0.00599223817139182,-2.27823233330408,0.00541105460374468,0.175001512230089,0.00632061080024291,0.136805933312959,0.0204835218943543,-2.27684473331272,0.00165012347622665,0.177960445800215,0.00648355782672518,0.124128828183125,0.00199820718480851,0.390335622025093,0.0689649216873682,0.423672921505207,0.388080716885962,"Converged",""
"seed1031-run8",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.604545454545454,0.112831357953943,0.47710843373494,-2.27876888421721,0.00158696514767874,0.175917688299539,0.00197155833936225,0.145461414386727,0.00659008363798766,-2.28180642387587,0.0021074691522295,0.114991919201327,0.00221942598159727,0.153605821246994,0.00663102537370619,-2.27801744747678,0.00580383341045428,0.174071555644825,0.00641977106471988,0.127880495886827,0.0266798085744021,-2.27899282769984,0.00171097704767668,0.175618485408109,0.00744528727062924,0.14304814601323,0.00199077102403762,0.456208415152524,0.070592445977472,0.395370236217013,0.437614372157112,"Converged",""
"seed1031-run9",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.622727272727273,0.112987968025952,0.456642800318218,-2.27827847848104,0.00157446204679404,0.178791286526106,0.00197041364948689,0.139554194901978,0.00612139796933092,-2.2797826701915,0.00206059241337171,0.114687321928387,0.00218407095601793,0.152977455248797,0.00615747409817947,-2.26479775537539,0.00583076280133865,0.173486837314324,0.00645813160865438,0.0848227520174294,0.0230983367242291,-2.27785641693913,0.00164555880556766,0.178552817976287,0.00645177023634461,0.140112162628617,0.00198092545044551,0.419091087486858,0.070755251260352,0.59056677833496,0.413349152849896,"Converged",""
"seed1031-run10",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.686363636363636,0.113071809506512,0.471246006389776,-2.27813936503225,0.00154818955835655,0.178922639254486,0.0019676523858402,0.146430871906247,0.00618025939755926,-2.28040705300165,0.0020493722467547,0.113751357233866,0.00219802458344934,0.167300209243947,0.00619458891969913,-2.27978037958534,0.00603412226039018,0.182326039481842,0.00684578860609994,0.163639182520817,0.0188337054349615,-2.27880029393775,0.00164616738217766,0.178650504540976,0.00664819215322922,0.148987928061973,0.00198723498536423,0.412521477822106,0.0688384215747653,0.723200289436371,0.391561745431617,"Converged",""
