"sim","N","beta0","beta1","beta2","q","eta0","eta1","ppv","queried_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","eta0_gs","se_eta0_gs","eta1_gs","se_eta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","eta0_cc","se_eta0_cc","eta1_cc","se_eta1_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","msg"
"11422-1",390,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.793103448275862,0.11488963113165,0.337209302325581,-2.27934020716168,0.00407826911496851,0.16539267118407,0.00472117899462091,0.157643145821737,0.0139883293811877,1.18754607412162,0.193600511611869,1.22271871267879,1.18811863281022,-2.27856704962727,0.00490405991235583,0.129222862183222,0.00523730023610315,0.172922487853464,0.0139944816182378,-2.28045229309886,0.0175027055399098,0.168684952939582,0.0166689971823872,0.194853029427156,0.0732567412629749,1.99976103446771,0.728650565289065,-6.36751822900586,4.71927848999454,-2.2773211472353,0.00462252208098295,0.166050329456613,0.0188696088161319,0.160917726130192,0.00423377364235753,1.09194144229383,0.214260635999943,0.809309696853253,1.28121242515199,""
"11422-2",390,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.730769230769231,0.115509889223807,0.323699421965318,-2.27163247362224,0.00401560211542998,0.172718157047326,0.00470942132135435,0.119133547630619,0.015100436788451,1.07950734647769,0.193920361116865,3.07978544771961,1.58983735519257,-2.27434320303971,0.00484928945772183,0.137732194071359,0.00519651259682521,0.155132330521102,0.0151206410333706,-2.2911363643941,0.0115255752484844,0.194035994242088,0.0152839420254488,0.0967082922842563,0.0435178101735928,-0.566406045484508,0.760863903414244,24.3404202089787,12.9897443344795,-2.27082805055028,0.004702555344905,0.173257957336087,0.0170180493450312,0.120680350343141,0.004338580351548,1.04613601320731,0.208084941208135,2.64262981980084,1.62184002907302,""
"11422-3",390,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.806451612903226,0.115716515550015,0.261363636363636,-2.27854785792182,0.0042504168920375,0.183948792610357,0.00471057231736136,0.133518114272832,0.0159057119882853,1.6972926009299,0.215781140458148,-1.23332117554009,1.0247587700883,-2.27412549061697,0.00472877830476725,0.152046061938397,0.00503700133352745,0.10807603712302,0.0158006368877982,-2.26842192758543,0.0150852186383123,0.176677448101916,0.0155295911771026,0.150516179553214,0.0610024674522267,0.936573106016386,0.640387091069298,5.94231466487276,6.37324289770419,-2.27826168797709,0.00489145895725046,0.183931030947852,0.0177538869483831,0.130657763208827,0.00439580679562798,1.68509889575253,0.236908572744681,-1.10682637259634,1.0672208610554,""
"11422-4",390,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.714285714285714,0.115653390997485,0.269461077844311,-2.27618923945118,0.00423822437995392,0.17253265931348,0.00475026905753792,0.141344461022379,0.0152190023401628,1.55596647575624,0.209860561886867,0.427063210424062,1.29196953814342,-2.27757456645456,0.00487842701634066,0.146677409931945,0.00515065945072243,0.14699895597142,0.0152653569444073,-2.26874827751784,0.0135341174138031,0.171520374554435,0.0148230696947198,0.0627175783754295,0.0752178770768318,0.863523205895216,0.59479365466451,0.553395485273926,4.48520506459448,-2.27627331120007,0.00508721852940344,0.172382139197353,0.0177685855809788,0.143081995555949,0.00432711358644027,1.57042496952708,0.240572266110469,0.275359344907193,1.35780242077247,""
"11422-5",390,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.892857142857143,0.11562083138881,0.275449101796407,-2.27891575389918,0.00422563794978711,0.173891880768849,0.00476371540398283,0.151314956178574,0.0139176467207544,1.37053567607717,0.207926134075404,2.34134679117331,1.64824776597825,-2.2798108402895,0.00497353252232498,0.144450194202513,0.00521519268216509,0.169830769254024,0.014069918709129,-2.28185163016941,0.0142566598360538,0.174995052271107,0.0156120981654779,0.179857609950625,0.0364762410328184,1.49143345507895,0.86112536332581,8.15992134768383,10.5598138731774,-2.27887971599709,0.0051179380437879,0.173940264904553,0.0157638040392962,0.150116261461563,0.00436459658146398,1.35807550776387,0.234671914638156,2.57186659717113,1.82566668538256,""
"11422-6",390,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.821428571428571,0.116113118849731,0.3625,-2.27723692013371,0.00420841670824868,0.170146678970386,0.0047697654364684,0.161264423769909,0.0148554938358939,1.1878933414552,0.187578880747407,1.75149671229219,1.18352480907051,-2.28174336383731,0.00517417920230714,0.139466840861348,0.00542690064772861,0.188977923673553,0.0148211088946103,-2.28383458392553,0.0128100064228669,0.170813196400696,0.015275209320417,0.211623829876971,0.0404948726589843,0.450634378669007,0.687871440318145,16.770613662892,12.5207767573155,-2.27886077754512,0.00517819114188075,0.170440323159898,0.0202530221596766,0.166517152243508,0.00438825551666513,1.26221094796503,0.22242625949527,1.40573196233928,1.34068210437844,""
"11422-7",390,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.884615384615385,0.116211820043296,0.308176100628931,-2.27398628397956,0.00422827637355149,0.173585212462701,0.00477895956851345,0.128744901385409,0.0158473211131989,1.38521119447128,0.200292814924998,1.60549843129298,1.31949684479608,-2.28138436509166,0.00500832956269031,0.151326151554057,0.00530053379131313,0.153692358980408,0.015846056876502,-2.26468050681106,0.0133637800488019,0.163307085454557,0.0151630080234871,0.0867452014197062,0.0459770866783371,1.45581889588409,0.804475359397238,5.29049960857731,6.40113063540427,-2.27830543308558,0.00537389727387371,0.174399670918379,0.0189726687885452,0.152219125569748,0.00437379084187627,1.59347520707217,0.237425880324228,0.16637870728091,1.21204084569301,""
"11422-8",390,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.928571428571429,0.115224540278937,0.254237288135593,-2.28610239929367,0.0040150707115242,0.182856333264658,0.0047037464596273,0.179627656309432,0.0148703080320596,1.35541836948697,0.20527733892898,2.01067925492907,1.40199168162463,-2.28893043278377,0.00459979866587002,0.153035998857397,0.00502201421109591,0.205932590193514,0.0148655551168193,-2.28914049368011,0.0154910249490885,0.180170041460367,0.0164144800675707,0.146667004016443,0.0487024692658563,3.08414862474857,1.02966629328986,-4.41901691689488,4.5257554212002,-2.28688768721575,0.0043727095706008,0.18304562090683,0.0167602876632482,0.17830457231216,0.00433771595871388,1.38519203791192,0.233062016605703,2.25973748153625,1.65231374809935,""
"11422-9",390,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.857142857142857,0.115496858208725,0.302325581395349,-2.27523376747662,0.00437937322540485,0.17610754678704,0.00475557859281545,0.123236672845697,0.0170866924733072,1.51459763744385,0.208073004557992,-0.756022052389468,1.25878538727342,-2.27448048878373,0.00509321450564555,0.145292382332834,0.00520878397517275,0.112600000537794,0.017155885431663,-2.27558974419303,0.0141470259075192,0.210866013336943,0.0154065111457421,-0.086618423162868,0.0843358962360559,1.34060971636504,0.733652261787225,6.84598991331588,9.2768686622541,-2.27963417453992,0.00532501894237138,0.178194250750102,0.0185194567023537,0.120952965550857,0.00435857095402018,1.67059612889255,0.240986916499702,-0.413561538810501,1.41090818699097,""
"11422-10",390,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.863636363636364,0.116016891243219,0.323353293413174,-2.27356150320584,0.00416979811812488,0.166806008873697,0.00472673157534356,0.157652068028766,0.0139042500859124,1.38210525800972,0.193578749973188,0.291687391551343,0.989881284408547,-2.27282579477767,0.00493155092165519,0.134466535963713,0.00523444713150777,0.163204480809062,0.0139603529309168,-2.26968020180689,0.0133450255034331,0.143158878371207,0.0149912172455327,0.126170077176452,0.0395926501296024,1.84368532378918,0.791509226592644,0.0162120502925761,3.71764046329973,-2.2734491094421,0.00528182746605719,0.166536222555722,0.0209893898655,0.163085422119542,0.00417674474436005,1.38406490817835,0.227509219269189,-0.0114062471700029,1.06304438560338,""
