"sim","N","beta0","beta1","beta2","q","eta1","eta0","eta2","ppv","queried_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","eta2_mle","se_eta2_mle","mle_msg","sim_msg"
"seed1031-run1",390,-2.2778541,0.1764544,0.1413503,0.1,2.48490636111989,-1.098612,0.3364722,0.8,0.8,0.116326711459367,0.401273885350318,-2.27591571682912,0.00421161281132685,0.175821468402356,0.00479772002646723,0.129684577884508,0.0152929687491639,-2.23079661894783,0.00466525283290977,0.0856280690126348,0.00502560197248773,0.166153523627871,0.0153521404236855,-2.28443066570577,0.0123576308637097,0.171422351457279,0.0148075565555695,0.171739977807741,0.0452987413264185,-2.27756390944604,0.004685269705534,0.177739043043293,0.0167254484934033,0.127947342591747,0.00491586059718871,-1.27541890360202,0.251672119522786,2.32404211294976,0.26659148533475,1.2308681879603,0.871041351068845,"Converged",""
"seed1031-run2",390,-2.2778541,0.1764544,0.1413503,0.1,2.48490636111989,-1.098612,0.3364722,0.8,0.8,0.11690454648534,0.358208955223881,-2.28083695072395,0.00463319877707426,0.172351879093598,0.00497966064470859,0.160891474084357,0.0174427967176206,-2.23522216811454,0.00496194145508633,0.0963652481542688,0.00515597693107568,0.178330567850962,0.0175215992805846,-2.27372476911184,0.0126393737278509,0.149011111627249,0.0147755389867931,0.14647220657786,0.0607462871644543,-2.28115540016354,0.00518918106646663,0.172477731195014,0.0188780550696685,0.170885049068747,0.00514054263905286,-1.20433406608535,0.274066374340125,2.71483439027121,0.287110896571799,0.313650296798032,1.01511961992613,"Converged",""
"seed1031-run3",390,-2.2778541,0.1764544,0.1413503,0.1,2.48490636111989,-1.098612,0.3364722,0.8,0.7,0.11800426455552,0.401639344262295,-2.28135160357747,0.00462575404730188,0.179188102189038,0.00512185501645961,0.146227829632741,0.0141578428144059,-2.21776955678171,0.00487082379788269,0.079402490268004,0.00517646181764128,0.190020133460319,0.0141988348730659,-2.25696216451812,0.0115465962086555,0.144367770646891,0.0152695855719488,0.188930605501316,0.0320010694204369,-2.27919565314038,0.00508771019597404,0.177187129075704,0.0149578465959329,0.145203285410696,0.00521037208999587,-0.907287765848558,0.244436085264556,2.26565691889001,0.27096603841023,1.5639479283666,0.850437207535214,"Converged",""
"seed1031-run4",390,-2.2778541,0.1764544,0.1413503,0.1,2.48490636111989,-1.098612,0.3364722,0.8,0.85,0.11726914264669,0.401459854014599,-2.28465245872968,0.0046337134688333,0.183882561572545,0.00497722076350915,0.156213583806687,0.014909656208732,-2.2291293705383,0.00508332985219756,0.0953066641546538,0.00525863581593,0.143692671494748,0.0151652018081581,-2.27340541781762,0.0137966567848667,0.184331242175113,0.0151463146660292,0.14395261113477,0.0304639359995605,-2.27988616909974,0.00495428184146591,0.181879697712206,0.0156492534523282,0.146356789122012,0.00496378582238685,-1.12378282923358,0.267174421509786,2.47894528675137,0.28066238750368,-0.054814377039522,0.833265224132881,"Converged",""
"seed1031-run5",390,-2.2778541,0.1764544,0.1413503,0.1,2.48490636111989,-1.098612,0.3364722,0.8,0.75,0.117122141906082,0.42962962962963,-2.28110993535945,0.00465384836618425,0.176195825977245,0.00497284310686724,0.147935753955824,0.0164355129234984,-2.23413326226082,0.00514678414267722,0.0948707147300818,0.00524093331148337,0.172661792572548,0.0166231327962038,-2.31685886899056,0.0128813313467852,0.200410490025755,0.0149075438906352,0.244535920553474,0.0515355528016778,-2.28378134243659,0.00545015094771686,0.177673107537856,0.018277407133183,0.150365715511564,0.00523269530945585,-0.968122851808555,0.263972304831336,2.33053157655321,0.276370462286394,0.658010329661084,0.928524406360768,"Converged",""
"seed1031-run6",390,-2.2778541,0.1764544,0.1413503,0.1,2.48490636111989,-1.098612,0.3364722,0.8,0.9,0.117720444679564,0.409090909090909,-2.27307596539507,0.00471796333344826,0.171522951331786,0.00502160337088332,0.138386262076527,0.0142813500344071,-2.2125923307889,0.00481048493103986,0.086381688255536,0.0051234424560507,0.0928795347042222,0.0142552041054008,-2.26014462610319,0.0132995349041107,0.159544284376059,0.0151983326115226,0.143267517617082,0.0333403282220655,-2.27358629907485,0.00525499331629884,0.171815241064712,0.0153115707334823,0.142375373508861,0.00528290386231757,-0.611423802129299,0.230703736135199,2.27426707776723,0.265985118450866,-1.70757374083725,0.798879899192518,"Converged",""
"seed1031-run7",390,-2.2778541,0.1764544,0.1413503,0.1,2.48490636111989,-1.098612,0.3364722,0.8,0.85,0.116526539956963,0.360544217687075,-2.2804685713763,0.0044725065618166,0.179278465783855,0.00488319510103114,0.135275122779612,0.015509348700758,-2.24049357914593,0.00489263935283053,0.108125878494426,0.00516964835520113,0.119844230039019,0.0155864821203508,-2.27384503279699,0.0142886179459958,0.178109598055482,0.0152806612285762,0.160974350842866,0.0436245129976232,-2.28178270408185,0.0050005334077293,0.179163070872162,0.0174564185611274,0.145212601989921,0.00496182442414094,-1.3704171517341,0.272286325436969,2.93465045558877,0.2993711295404,-0.960319301707417,0.945981022898287,"Converged",""
"seed1031-run8",390,-2.2778541,0.1764544,0.1413503,0.1,2.48490636111989,-1.098612,0.3364722,0.8,0.7,0.117225979907135,0.369565217391304,-2.28071949464701,0.00436496610383377,0.178038064650274,0.00495052954126343,0.160296644330291,0.0142290719054154,-2.24444197618467,0.00483430903759105,0.10790580802426,0.00524240781709684,0.191243064604155,0.0141810866554853,-2.2982519446425,0.011530521777517,0.208488837716967,0.0153199211549916,0.122916673258491,0.0396845694089872,-2.28202834575638,0.00485988242796117,0.17898698085893,0.0152028181507948,0.158829478087852,0.00513201377083905,-1.54921887394236,0.290174208947028,2.92424172235275,0.302228526018359,1.67178414629035,1.12396545396809,"Converged",""
"seed1031-run9",390,-2.2778541,0.1764544,0.1413503,0.1,2.48490636111989,-1.098612,0.3364722,0.8,0.95,0.117894582749067,0.349206349206349,-2.28147017001369,0.00459176871079186,0.177952495743881,0.00506913120739157,0.161653121163298,0.0147410076869635,-2.22947057282309,0.00477660456955384,0.09514531010199,0.00514570074948455,0.189674234743482,0.0147439917780974,-2.28222855634413,0.0128804141430831,0.184239215133998,0.0152385082004369,0.147469097833517,0.0442597922204142,-2.28002164794166,0.00493226210190812,0.176941401512237,0.0159282379154829,0.16008846815291,0.00513900587120551,-1.07558497295216,0.250330856599609,2.55985281409368,0.275670588516324,1.13513952830115,0.936006493405012,"Converged",""
"seed1031-run10",390,-2.2778541,0.1764544,0.1413503,0.1,2.48490636111989,-1.098612,0.3364722,0.8,0.6,0.116830649696297,0.391304347826087,-2.27536258516214,0.00465147592974872,0.168745102003886,0.00495961180403776,0.142508869079493,0.0165080623351671,-2.22297524128107,0.00510636591805043,0.0852313981502657,0.00526997004654747,0.121598841695247,0.0165506244656603,-2.27022300810275,0.0117445741926976,0.177667067671729,0.0149399515212857,0.134839143281518,0.0337022261844086,-2.27131444022041,0.00506519165579675,0.167153390161869,0.0183150480266335,0.131184210958135,0.00500516133226586,-1.16267901854647,0.271121103177354,2.51616830693033,0.283258583051895,-0.181540461256312,0.936180945855657,"Converged",""
