"sim","N","beta0","beta1","beta2","q","eta1","eta0","ppv","queried_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","mle_msg","sim_msg"
"seed1031-run1",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0,0.5,0.518181818181818,0.111836327922298,0.554024655547498,-2.27674877807442,0.00154976911507784,0.174478533841062,0.00201174851683405,0.142878935408007,0.00644884819811949,-2.27561289983724,0.00216878625309182,0.094463863052316,0.00226134817209996,0.131620148971022,0.00647269572424782,-2.27061686089443,0.00541620956922686,0.168107606459781,0.00623030038601873,0.145892228488433,0.0200894372657396,-2.27709379511832,0.0016603217797292,0.174135199180715,0.00708860495176984,0.146217875738481,0.00205334276001908,0.135941581428218,0.0678470762095976,-0.559242762225026,0.391884124484486,"Converged",""
"seed1031-run2",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0,0.5,0.518181818181818,0.111224199248071,0.547935619314206,-2.27720304041544,0.00151323044470957,0.176859754396712,0.00203156041495101,0.132113422437371,0.00668241327012226,-2.27812519885558,0.00210420091098587,0.0929575868838528,0.00222603213059815,0.131833066161076,0.00669407560052298,-2.2746130578301,0.00539970050217784,0.17051264434578,0.00626684419515727,0.124719127679661,0.02132385783829,-2.27786658341048,0.0016300256516129,0.176407184579307,0.00719075813759539,0.132204225392496,0.00206443754428968,0.0107258404143951,0.0683015096878353,-0.00210641924809514,0.390394393981596,"Converged",""
"seed1031-run3",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0,0.5,0.559090909090909,0.111611952458555,0.5471562275018,-2.2777929096302,0.00151408500135679,0.175929473915662,0.00201500199412396,0.139603567644707,0.00617436131148628,-2.27574637256482,0.00211860316162733,0.0930217824686139,0.00224422857210049,0.132406438754386,0.00618970635251871,-2.28600236956475,0.00535174511426469,0.188587133372746,0.00630218578560433,0.120774725410306,0.0197391062510044,-2.27761553079049,0.00162902295796424,0.175977339899101,0.00679245133851729,0.139828875437616,0.00205650034412216,0.0868942697823524,0.0670085435413516,-0.270001152969222,0.3807099494152,"Converged",""
"seed1031-run4",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0,0.5,0.531818181818182,0.11146759393238,0.516242937853107,-2.27668625996367,0.00151419757829475,0.174005091337772,0.0020269787196334,0.1441697226676,0.00636224441853306,-2.27659823089801,0.00205467548472301,0.094355402363353,0.00218733857907304,0.140202259391233,0.00638798306348081,-2.26938068987546,0.00552998154080323,0.168651660996262,0.0062363197134362,0.104142421679624,0.0250027034068344,-2.27662358267247,0.00160332547347198,0.173887552247415,0.0067289099587498,0.141030366296993,0.00205618977012804,0.0844942884087066,0.0681734170994172,-0.0301778712334096,0.385192948132717,"Converged",""
"seed1031-run5",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0,0.5,0.468181818181818,0.111779912621403,0.528097982708934,-2.27983363217176,0.00148675216275442,0.178738045218802,0.00200844635844431,0.147399768862526,0.00575394937844054,-2.28402102709741,0.00204043973704779,0.101364036371753,0.00220848651324941,0.160621659121783,0.00575969694265773,-2.27679814606783,0.00492467992146283,0.16631827039081,0.00623144739168168,0.157637008706102,0.0206586473634957,-2.27958967717978,0.00157237014612319,0.178760448576257,0.00618056889034698,0.148908446083133,0.00203244146639366,0.0418114114738388,0.0671936856468758,0.380081280647979,0.332541599308568,"Converged",""
"seed1031-run6",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0,0.5,0.477272727272727,0.111265794797346,0.541930937279774,-2.27885538063979,0.00152104749568766,0.177095756867641,0.00202647666845458,0.138333441787017,0.00664086970785724,-2.27916662692865,0.00210745140240444,0.0925804464710338,0.00222124459989729,0.144130511447356,0.0066659705928313,-2.27448157949031,0.0051015370892227,0.180897846938841,0.0062066021587999,0.0899032889387018,0.023354666846015,-2.27801120146622,0.0016277871563829,0.177051246398017,0.00715331074805587,0.135920337190136,0.00206655655105933,-0.0341100464037018,0.068664693202948,0.297189093349706,0.387240605387011,"Converged",""
"seed1031-run7",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0,0.5,0.486363636363636,0.111303339129107,0.527387640449438,-2.27747655007293,0.00148512994509759,0.177276685769693,0.00202776818373961,0.128974264944041,0.00599361411547188,-2.2792112559758,0.00205637666365829,0.0944549285223282,0.00219936925767448,0.140311409441002,0.00601467018740733,-2.27706413922792,0.00505661970459685,0.173708515785274,0.00620800004398757,0.131831585252466,0.0205977764223172,-2.27667793729413,0.00158258881244226,0.177402426083005,0.00653799415811711,0.126932426145521,0.00207528704800239,-0.0455541504191569,0.0674695168754334,0.532883190234317,0.373694512128713,"Converged",""
"seed1031-run8",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0,0.5,0.504545454545455,0.111351413674821,0.537642045454545,-2.27975222564306,0.00151969929652887,0.178163685309728,0.00202269595783494,0.146504717835271,0.00664565988918253,-2.28075263280782,0.00210965046614245,0.0963393217531352,0.00222497887149183,0.147107824255005,0.00667580446973625,-2.27956107055636,0.00521900730105607,0.17816651531147,0.00622334773309187,0.131731776457145,0.0205857184230066,-2.27968318457966,0.00164368593790558,0.178156034974615,0.00760204497238793,0.145480754400477,0.00205332216326513,0.0422463593584839,0.0681961297868902,0.0436084735574804,0.413621055129329,"Converged",""
"seed1031-run9",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0,0.5,0.527272727272727,0.111536218119902,0.525459688826025,-2.27726401109318,0.00149105133684795,0.174096002642504,0.00202091572042468,0.146667909929835,0.00610076915625203,-2.27762061130944,0.00203900425930509,0.0918985378983233,0.00219145949882452,0.157745930051137,0.00611541539587503,-2.27514071138745,0.00524506169757063,0.172008678396013,0.00622981831004199,0.197451251112096,0.0255333990580945,-2.27761320936792,0.0016107312266193,0.174214200666348,0.0069826902159016,0.15225561342453,0.00205638422703177,0.0223603853035355,0.067786141650533,0.188383365759971,0.362763775976603,"Converged",""
"seed1031-run10",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0,0.5,0.55,0.111709468699804,0.522206303724928,-2.27509749316231,0.00149503067646802,0.173663718225626,0.00201312039633819,0.136985964944342,0.00625679781261085,-2.27562321178764,0.00206881579654766,0.0925459466810749,0.00220261020366399,0.155479277536008,0.00627612309751083,-2.28226397688093,0.00520415299394589,0.17838768339862,0.00635329233030486,0.156338745431789,0.0212364434929224,-2.27512063340481,0.00159162747347289,0.173330284047717,0.00673968730240791,0.136182129870754,0.00203969888827226,0.0139904206085725,0.0682459221881027,0.872746609522994,0.397596214647489,"Converged",""
